Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_accountbonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtorsguarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_worker,Creditworthiness
1,0.073529,2,3,0.07813400000000001,1,2,1.0,2,1,0.333333,3,0.053571,3,2,0.0,3,0,2,1,bad credit
1,0.205882,2,2,0.09211,5,2,1.0,2,1,0.666667,1,0.14285699999999998,3,1,0.0,3,0,1,1,bad credit
3,0.25,2,3,0.160119,5,5,1.0,1,1,0.666667,2,0.392857,3,2,0.0,3,0,2,1,good credit
0,0.294118,2,3,0.056784,2,3,1.0,2,1,0.333333,3,0.232143,3,2,0.0,2,0,1,1,bad credit
3,0.117647,2,0,0.089909,1,5,1.0,1,1,1.0,3,0.357143,3,2,0.0,4,0,2,1,good credit
3,0.514706,2,1,0.1276,3,3,1.0,1,1,1.0,3,0.089286,3,2,0.0,3,0,1,1,good credit
1,0.8235290000000001,3,3,0.39441,5,3,0.0,1,1,0.0,1,0.14285699999999998,3,2,0.0,2,0,1,1,good credit
0,0.205882,2,4,0.053208000000000005,1,3,1.0,1,1,0.666667,1,0.5,3,2,0.0,2,0,2,1,bad credit
2,0.08823500000000001,2,0,0.054473,2,5,0.0,2,1,1.0,4,0.517857,3,3,0.0,2,1,1,1,bad credit
0,0.294118,1,2,0.170518,3,2,1.0,1,1,1.0,4,0.196429,3,3,0.0,3,1,2,1,bad credit
0,0.647059,2,9,0.223286,1,2,0.666667,2,1,1.0,2,0.089286,3,1,0.0,3,0,1,1,bad credit
3,0.470588,3,1,0.478541,5,4,0.666667,1,1,0.333333,3,0.214286,2,2,0.0,4,1,2,1,good credit
0,0.382353,0,9,0.43039499999999997,5,2,0.333333,1,1,0.666667,3,0.107143,1,2,0.666667,3,0,1,1,good credit
3,0.117647,4,3,0.039947,5,5,1.0,1,1,1.0,3,0.28571399999999997,3,2,0.333333,3,0,1,1,good credit
3,0.117647,4,6,0.024816,1,3,1.0,1,1,0.333333,3,0.232143,3,2,0.333333,3,0,1,1,good credit
3,0.470588,2,0,0.155662,5,3,1.0,1,1,1.0,1,0.303571,3,2,0.0,3,0,1,1,good credit
3,0.294118,3,1,0.2437,1,4,0.666667,1,1,0.666667,3,0.28571399999999997,3,2,0.333333,2,0,2,1,good credit
1,0.647059,2,3,0.31369,1,3,0.333333,2,1,0.333333,1,0.053571,3,2,0.0,3,0,1,1,bad credit
3,0.117647,4,6,0.024816,1,3,1.0,1,1,0.333333,3,0.232143,3,2,0.333333,3,0,1,1,good credit
3,0.102941,4,3,0.049741,2,1,1.0,2,1,1.0,1,0.678571,3,2,0.666667,2,0,1,1,good credit
3,0.08823500000000001,2,6,0.026246,3,5,1.0,1,1,1.0,4,0.48214300000000004,3,3,0.0,3,0,2,1,good credit
1,0.470588,0,9,0.093705,1,5,1.0,1,1,1.0,4,0.75,3,3,0.0,4,0,2,1,bad credit
3,0.294118,2,3,0.071641,1,4,0.666667,1,1,0.0,3,0.232143,1,2,0.0,3,1,1,1,good credit
0,0.25,3,6,0.174095,1,2,0.333333,1,1,0.0,2,0.125,3,2,0.333333,3,0,1,1,bad credit
3,0.382353,4,3,0.155552,5,5,0.666667,1,1,0.333333,3,0.375,3,2,0.333333,3,1,2,1,good credit
3,0.117647,2,3,0.10405,2,4,0.666667,1,1,0.0,4,0.28571399999999997,3,2,0.0,3,0,1,1,good credit
3,0.294118,2,9,0.238858,4,3,0.333333,1,1,0.666667,2,0.625,3,2,0.666667,4,0,2,1,bad credit
0,0.029412,4,3,0.004842,3,5,1.0,1,1,1.0,3,0.589286,3,2,0.333333,3,0,1,1,good credit
3,0.294118,2,0,0.192968,1,5,1.0,2,2,1.0,4,0.767857,3,3,0.0,3,0,2,1,good credit
0,0.117647,2,2,0.12804000000000001,1,3,0.333333,1,1,0.0,3,0.410714,3,2,0.0,3,0,1,1,good credit
3,0.117647,2,3,0.025146,1,3,1.0,1,1,0.333333,1,0.196429,1,2,0.333333,3,0,1,1,good credit
0,0.294118,2,2,0.11604500000000001,2,1,0.0,1,1,0.0,2,0.25,3,2,0.0,3,0,1,1,bad credit
0,0.470588,4,2,0.328986,1,2,1.0,2,2,1.0,4,0.07142899999999999,3,1,0.333333,2,0,2,1,bad credit
1,0.205882,4,9,0.183779,1,1,0.666667,1,1,0.666667,3,0.375,3,2,0.666667,1,1,2,1,good credit
1,0.470588,3,0,0.43116499999999996,2,5,0.333333,1,1,1.0,3,0.410714,3,2,1.0,4,0,2,1,bad credit
0,0.294118,2,1,0.140971,5,5,0.333333,2,1,1.0,1,0.125,3,1,0.0,3,0,1,1,good credit
0,0.205882,2,2,0.048476,1,1,1.0,2,1,0.333333,3,0.25,3,2,0.0,3,0,1,1,bad credit
1,0.117647,3,3,0.018433,1,3,1.0,1,2,1.0,1,0.017856999999999998,3,1,0.333333,3,0,1,1,good credit
0,0.338235,2,3,0.174205,1,3,0.666667,1,1,0.333333,3,0.14285699999999998,3,2,0.0,4,0,1,1,good credit
2,0.117647,4,0,0.037911,3,4,1.0,1,1,0.333333,1,0.16071400000000002,3,2,0.666667,3,0,2,1,bad credit
3,0.470588,4,0,0.418455,1,3,1.0,2,1,0.333333,1,0.107143,2,2,0.333333,3,0,2,1,bad credit
1,0.029412,3,2,0.044019,1,1,1.0,1,1,0.0,2,0.28571399999999997,2,2,0.333333,4,0,2,1,good credit
3,0.16176500000000002,4,2,0.06988,5,5,1.0,1,1,1.0,2,0.785714,3,2,0.0,3,0,1,1,good credit
1,0.16176500000000002,2,0,0.131011,2,3,0.333333,2,1,1.0,3,0.16071400000000002,3,1,0.333333,3,0,2,1,bad credit
1,0.117647,4,0,0.038957,1,4,0.333333,1,1,0.666667,1,0.5,3,2,0.333333,2,1,1,1,good credit
1,0.205882,2,9,0.13051600000000002,2,3,1.0,1,1,1.0,3,0.267857,3,2,0.0,3,0,1,1,good credit
2,0.08823500000000001,2,4,0.053648,1,3,0.333333,1,1,0.333333,3,0.321429,3,2,0.0,3,0,2,1,good credit
0,0.382353,2,5,0.646418,1,2,0.0,1,1,0.0,4,0.267857,3,2,0.0,2,0,2,1,bad credit
0,0.117647,2,2,0.183779,1,3,0.333333,1,2,0.333333,2,0.178571,3,2,0.0,2,1,1,1,good credit
3,0.073529,2,0,0.183064,2,3,0.0,1,3,0.333333,1,0.125,3,1,0.0,3,1,1,2,good credit
0,0.205882,1,3,0.09299,1,2,0.666667,1,2,1.0,4,0.303571,1,3,0.0,4,0,2,1,good credit
3,0.16176500000000002,2,1,0.057775,5,5,1.0,1,1,1.0,4,0.464286,1,3,0.0,3,1,1,1,good credit
1,0.205882,3,5,0.327611,1,3,0.333333,1,1,1.0,1,0.446429,3,2,0.0,2,1,2,1,good credit
2,0.294118,2,2,0.192528,1,2,0.333333,2,1,1.0,3,0.125,3,2,0.0,3,0,1,1,good credit
1,0.117647,4,0,0.038957,1,4,0.333333,1,1,0.666667,1,0.5,3,2,0.333333,2,1,1,1,good credit
0,0.294118,1,10,0.060966,5,5,1.0,1,1,0.666667,3,0.375,2,2,0.0,4,0,2,1,bad credit
0,0.382353,2,3,0.12501400000000001,1,5,0.0,1,3,0.666667,2,0.357143,3,2,0.0,3,1,1,1,good credit
0,0.382353,2,2,0.118631,1,4,1.0,2,1,1.0,1,0.07142899999999999,3,1,0.0,3,0,1,1,bad credit
1,0.16176500000000002,2,0,0.131011,2,3,0.333333,2,1,1.0,3,0.16071400000000002,3,1,0.333333,3,0,2,1,bad credit
0,0.426471,4,2,0.2218,3,3,0.0,2,1,1.0,3,0.07142899999999999,3,2,0.333333,3,0,1,1,bad credit
2,0.029412,4,0,0.05772000000000001,1,3,0.0,1,1,0.0,1,0.982143,3,2,0.666667,1,1,1,2,good credit
3,0.16176500000000002,4,2,0.170188,1,3,1.0,1,1,0.333333,4,0.16071400000000002,3,3,0.0,3,0,2,1,good credit
0,0.470588,4,2,0.281776,1,3,0.666667,1,3,0.333333,2,0.16071400000000002,3,2,0.333333,3,0,1,1,good credit
3,0.8235290000000001,2,0,0.556619,1,5,0.333333,1,1,1.0,2,0.410714,3,2,0.0,4,0,2,1,good credit
1,0.16176500000000002,1,0,0.055794,2,3,0.333333,1,1,0.333333,2,0.107143,3,1,0.0,3,0,1,1,bad credit
0,0.294118,2,0,0.052658,1,2,1.0,2,1,1.0,2,0.089286,3,1,0.0,3,0,1,1,bad credit
0,0.16176500000000002,2,0,0.204083,1,3,0.666667,2,1,0.333333,2,0.178571,3,2,0.0,3,0,2,1,bad credit
3,0.117647,2,0,0.089909,1,5,1.0,1,1,1.0,3,0.357143,3,2,0.0,4,0,2,1,good credit
3,0.647059,4,0,0.543469,3,3,0.333333,1,1,0.333333,4,0.446429,1,3,0.0,3,0,1,1,bad credit
3,0.073529,4,6,0.037745999999999995,3,5,1.0,1,1,0.333333,3,0.589286,3,2,0.333333,3,0,2,1,good credit
0,0.294118,0,2,0.212391,1,5,0.666667,1,1,1.0,4,0.07142899999999999,1,1,0.333333,3,1,1,1,bad credit
3,0.470588,4,1,0.30048400000000003,4,5,1.0,1,1,0.333333,3,0.33928600000000003,3,2,0.333333,4,0,2,1,good credit
0,0.294118,2,2,0.164191,1,2,1.0,2,1,1.0,1,0.07142899999999999,3,1,0.0,2,0,2,1,bad credit
1,0.029412,1,0,0.037471,2,2,0.0,2,1,0.0,2,0.232143,2,2,0.0,2,0,1,1,bad credit
3,0.352941,1,1,0.416749,5,2,0.666667,1,3,1.0,1,0.375,1,1,0.333333,3,1,2,1,good credit
3,0.25,4,2,0.11213800000000002,1,2,1.0,2,1,1.0,2,0.07142899999999999,3,2,0.0,3,0,2,1,good credit
1,0.294118,2,0,0.060801,1,2,0.666667,2,1,1.0,3,0.107143,3,2,0.0,2,0,2,1,bad credit
1,0.294118,4,9,0.09271499999999999,1,5,1.0,1,1,1.0,1,0.214286,3,2,0.333333,3,0,2,1,bad credit
0,0.205882,2,2,0.12171199999999999,1,3,0.333333,1,1,0.333333,3,0.053571,3,2,0.0,3,0,1,1,bad credit
3,0.470588,2,3,0.11274300000000001,3,5,1.0,1,1,1.0,3,0.357143,3,2,0.0,3,0,1,1,good credit
3,0.16176500000000002,2,3,0.095136,5,5,1.0,1,1,0.333333,3,0.28571399999999997,3,2,0.0,3,0,1,1,good credit
0,0.205882,4,5,0.051722000000000004,1,1,0.333333,2,1,1.0,4,0.642857,3,3,0.666667,1,1,1,1,bad credit
0,0.294118,2,2,0.11604500000000001,2,1,0.0,1,1,0.0,2,0.25,3,2,0.0,3,0,1,1,bad credit
0,0.294118,4,1,0.148949,1,5,1.0,1,1,1.0,2,0.785714,3,2,0.333333,3,0,2,1,good credit
3,0.205882,2,2,0.095411,1,3,1.0,1,1,1.0,4,0.5,1,3,0.333333,3,0,1,1,good credit
0,0.294118,2,2,0.08237,1,2,1.0,1,2,0.0,2,0.089286,3,2,0.0,2,0,1,2,good credit
1,0.338235,0,9,0.443931,1,5,0.333333,2,1,1.0,4,0.410714,3,3,0.333333,4,0,2,1,bad credit
3,0.205882,2,0,0.358259,5,3,0.333333,1,1,1.0,3,0.875,3,1,0.333333,3,0,1,1,bad credit
1,0.117647,2,3,0.046935000000000004,1,4,1.0,1,3,0.666667,1,0.178571,3,2,0.333333,3,0,1,2,good credit
1,0.147059,2,9,0.063827,3,5,0.0,1,1,0.333333,1,0.28571399999999997,3,2,0.0,3,0,2,1,good credit
1,0.294118,2,1,0.622318,1,3,0.0,2,1,1.0,3,0.07142899999999999,3,1,0.333333,4,0,1,1,bad credit
1,0.117647,2,2,0.138219,5,5,0.0,2,1,0.333333,2,0.107143,1,2,0.0,3,0,2,1,bad credit
3,0.294118,4,0,0.12176700000000001,2,4,1.0,1,1,0.666667,2,0.14285699999999998,3,2,0.333333,3,0,2,1,good credit
3,0.16176500000000002,4,3,0.061076,1,3,1.0,1,1,0.333333,2,0.214286,3,2,0.333333,3,0,1,1,good credit
1,0.647059,1,9,0.339276,1,5,1.0,2,1,0.666667,4,0.714286,3,1,0.0,3,0,1,1,bad credit
1,0.294118,3,2,0.099813,1,1,0.666667,2,1,0.333333,2,0.267857,3,2,0.0,4,0,2,1,bad credit
1,0.382353,4,0,0.27423800000000004,1,1,1.0,1,1,0.333333,3,0.16071400000000002,3,2,0.333333,4,0,1,1,bad credit
0,0.117647,2,0,0.187135,4,3,0.0,1,1,0.666667,2,0.214286,3,2,0.0,3,1,1,1,good credit
0,0.117647,1,3,0.020689,1,3,1.0,2,1,1.0,1,0.089286,1,2,0.0,2,0,1,1,bad credit
2,0.117647,1,9,0.019753,1,2,1.0,2,1,0.0,1,0.125,3,2,0.0,1,0,1,1,bad credit
1,0.029412,2,5,0.011225,1,2,0.666667,1,1,0.0,2,0.053571,3,2,0.0,2,0,1,1,good credit
1,0.058824,2,2,0.054308,1,3,0.666667,2,1,1.0,1,0.089286,3,2,0.0,3,0,1,1,bad credit
0,0.558824,2,3,0.380984,5,4,1.0,2,1,0.666667,3,0.196429,3,2,0.0,4,0,2,1,bad credit
0,0.16176500000000002,2,0,0.204083,1,3,0.666667,2,1,0.333333,2,0.178571,3,2,0.0,3,0,2,1,bad credit
1,0.205882,2,0,0.043579,5,3,1.0,2,1,0.333333,2,0.25,3,2,0.0,3,0,1,1,bad credit
0,0.117647,4,0,0.17877200000000001,1,3,0.666667,2,2,0.333333,1,0.178571,3,2,0.333333,3,0,1,1,bad credit
3,0.294118,2,3,0.31325,5,2,0.0,2,1,0.0,3,0.446429,3,2,0.333333,3,0,2,1,bad credit
3,0.073529,4,2,0.118631,1,1,0.333333,1,1,0.666667,3,0.214286,3,2,0.0,4,0,1,1,good credit
0,0.205882,4,2,0.10311400000000001,1,3,1.0,2,1,1.0,1,0.089286,3,1,0.333333,3,0,1,1,bad credit
3,0.470588,4,1,0.594476,5,3,1.0,1,1,0.333333,3,0.196429,3,2,0.0,4,0,2,1,good credit
0,0.294118,2,2,0.170298,1,5,1.0,1,1,0.333333,2,0.357143,3,1,0.0,4,0,2,1,bad credit
3,0.029412,2,2,0.150105,3,3,0.0,1,1,0.333333,3,0.232143,3,2,0.0,3,0,2,1,good credit
3,0.029412,4,0,0.358259,1,4,0.0,1,1,0.666667,4,0.464286,3,2,0.333333,4,1,2,1,good credit
1,0.117647,2,3,0.34213699999999997,5,1,0.333333,1,1,0.0,4,0.589286,3,2,0.0,4,0,2,1,bad credit
3,0.470588,4,9,0.333113,5,5,1.0,1,1,1.0,1,0.303571,3,2,0.333333,3,0,1,1,good credit
0,0.470588,3,6,0.365192,1,3,1.0,1,1,0.666667,2,0.178571,2,2,0.0,3,0,2,1,bad credit
2,0.16176500000000002,4,3,0.056179,5,3,0.666667,1,1,1.0,4,0.357143,3,3,0.333333,3,0,2,1,bad credit
2,0.117647,4,0,0.067679,3,1,0.333333,1,1,1.0,4,0.8392860000000001,1,3,0.666667,1,0,1,1,good credit
0,0.117647,0,0,0.04578,1,3,1.0,1,1,1.0,3,0.517857,1,2,0.333333,3,0,1,1,bad credit
1,0.117647,2,2,0.038572,2,2,1.0,2,1,1.0,3,0.14285699999999998,1,1,1.0,3,0,1,1,bad credit
3,0.8235290000000001,2,0,0.556619,1,5,0.333333,1,1,1.0,2,0.410714,3,2,0.0,4,0,2,1,good credit
2,0.294118,4,0,0.060196000000000006,5,4,1.0,1,1,0.333333,1,0.321429,1,2,0.333333,2,1,1,1,bad credit
0,0.602941,2,3,0.087763,1,3,1.0,1,1,1.0,4,0.07142899999999999,3,3,0.0,3,0,2,1,bad credit
2,0.073529,2,3,0.027237,1,3,0.666667,2,1,0.333333,1,0.16071400000000002,3,2,0.0,2,0,1,1,bad credit
0,0.294118,2,2,0.21563800000000002,1,3,1.0,1,1,1.0,2,0.16071400000000002,3,2,0.0,3,0,1,1,good credit
0,0.117647,2,6,0.029988,1,2,1.0,2,1,1.0,2,0.607143,3,2,0.0,3,0,1,1,bad credit
1,0.235294,0,1,0.32453000000000004,2,5,0.666667,1,1,1.0,3,0.214286,1,2,0.333333,3,0,2,1,good credit
2,0.073529,2,3,0.027237,1,3,0.666667,2,1,0.333333,1,0.16071400000000002,3,2,0.0,2,0,1,1,bad credit
0,0.647059,2,0,0.202542,1,4,1.0,1,1,1.0,4,0.48214300000000004,3,3,0.0,3,1,1,1,bad credit
0,0.352941,2,0,0.206669,1,3,0.666667,1,1,0.333333,3,0.464286,3,2,0.0,2,0,1,1,bad credit
3,0.294118,2,3,0.31325,5,2,0.0,2,1,0.0,3,0.446429,3,2,0.333333,3,0,2,1,bad credit
0,0.470588,2,0,0.165016,1,4,0.333333,1,1,1.0,4,0.357143,1,3,0.0,4,1,2,1,good credit
0,0.073529,2,0,0.064488,1,2,0.666667,1,1,0.333333,4,0.14285699999999998,3,3,0.0,4,0,2,1,bad credit
3,0.470588,2,2,0.590074,1,1,1.0,2,1,0.333333,3,0.125,3,2,0.333333,4,0,2,1,bad credit
2,0.08823500000000001,4,3,0.060361,5,4,1.0,1,1,0.333333,2,0.14285699999999998,3,2,0.333333,3,0,2,1,good credit
3,0.338235,2,0,0.127655,1,3,0.666667,2,1,0.666667,1,0.035713999999999996,3,1,0.0,3,0,1,1,bad credit
0,0.25,2,3,0.087213,1,3,0.666667,2,1,0.333333,1,0.107143,3,2,0.333333,3,0,2,1,bad credit
3,0.470588,0,5,0.130021,1,3,1.0,1,1,0.333333,3,0.14285699999999998,3,2,0.333333,3,0,1,1,good credit
3,0.294118,3,9,0.150105,5,3,1.0,1,1,1.0,1,0.232143,3,2,0.333333,3,1,2,1,good credit
1,0.073529,4,6,0.06883500000000001,1,5,0.333333,2,1,0.666667,3,0.267857,3,2,0.333333,4,0,2,1,bad credit
3,0.117647,4,0,0.050237000000000004,3,3,1.0,1,1,1.0,1,0.446429,3,2,0.0,3,0,2,1,good credit
0,0.294118,2,2,0.08237,1,2,1.0,1,2,0.0,2,0.089286,3,2,0.0,2,0,1,2,good credit
3,0.294118,2,3,0.31325,5,2,0.0,2,1,0.0,3,0.446429,3,2,0.333333,3,0,2,1,bad credit
1,0.647059,2,3,0.205183,5,4,1.0,1,1,0.0,3,0.392857,3,2,0.333333,3,1,2,1,good credit
0,0.205882,2,6,0.027512,1,1,1.0,2,1,0.0,1,0.14285699999999998,3,2,0.0,1,0,1,1,bad credit
3,0.117647,2,0,0.180313,5,2,0.333333,1,1,0.666667,2,0.464286,3,2,0.0,4,1,2,1,good credit
3,0.205882,4,0,0.07042999999999999,1,3,0.666667,1,1,0.333333,2,0.232143,1,2,0.333333,3,0,1,1,bad credit
3,0.294118,4,5,0.099483,1,3,1.0,1,1,0.333333,1,0.25,3,2,0.333333,3,0,2,1,good credit
1,0.382353,2,2,0.197095,1,2,0.333333,1,1,0.0,2,0.053571,3,2,0.0,3,0,1,1,good credit
3,0.117647,2,6,0.06289199999999999,1,5,1.0,1,1,1.0,2,0.5,1,2,0.666667,3,1,2,1,good credit
0,0.426471,4,2,0.2218,3,3,0.0,2,1,1.0,3,0.07142899999999999,3,2,0.333333,3,0,1,1,bad credit
3,0.16176500000000002,2,4,0.034335000000000004,5,2,1.0,2,1,0.0,1,0.089286,3,2,0.0,3,0,1,1,good credit
0,0.382353,2,2,0.335644,5,5,1.0,1,1,1.0,2,0.214286,3,2,0.0,3,0,1,1,bad credit
3,0.08823500000000001,4,0,0.053978,1,5,0.666667,1,1,1.0,1,0.232143,3,2,0.333333,2,1,1,2,good credit
1,0.117647,4,0,0.158138,1,2,0.0,1,1,0.666667,1,0.535714,1,2,0.333333,2,1,1,1,good credit
3,0.352941,1,1,0.416749,5,2,0.666667,1,3,1.0,1,0.375,1,1,0.333333,3,1,2,1,good credit
1,0.205882,3,5,0.327611,1,3,0.333333,1,1,1.0,1,0.446429,3,2,0.0,2,1,2,1,good credit
1,0.294118,4,10,0.643117,1,3,0.333333,1,2,0.666667,3,0.357143,3,2,0.333333,4,1,2,1,bad credit
0,0.470588,3,9,0.10427,1,4,0.333333,1,1,0.0,3,0.089286,3,2,0.333333,3,0,2,1,bad credit
3,0.117647,4,0,0.050237000000000004,3,3,1.0,1,1,1.0,1,0.446429,3,2,0.0,3,0,2,1,good credit
3,0.294118,4,3,0.06966,4,3,1.0,2,1,0.0,1,0.428571,3,2,0.333333,2,0,1,1,good credit
1,0.029412,2,3,0.045009,1,5,1.0,1,1,1.0,3,0.16071400000000002,3,2,0.0,3,1,1,1,good credit
0,0.117647,4,2,0.109827,1,5,0.666667,1,1,0.666667,2,0.732143,3,2,0.333333,3,0,1,1,bad credit
0,0.470588,2,10,0.8587540000000001,1,1,0.333333,1,2,0.666667,3,0.428571,3,2,0.0,4,0,1,1,good credit
3,0.117647,4,2,0.16952799999999998,1,5,0.333333,1,1,1.0,2,0.410714,2,2,0.0,3,0,1,1,good credit
1,0.132353,4,3,0.034775,1,2,1.0,1,3,1.0,1,0.07142899999999999,3,2,0.333333,3,0,1,1,good credit
0,0.294118,2,2,0.164191,1,2,1.0,2,1,1.0,1,0.07142899999999999,3,1,0.0,2,0,2,1,bad credit
1,0.647059,2,3,0.31369,1,3,0.333333,2,1,0.333333,1,0.053571,3,2,0.0,3,0,1,1,bad credit
1,0.205882,4,9,0.090074,5,3,1.0,1,1,1.0,1,0.16071400000000002,1,2,0.333333,3,0,1,1,good credit
3,0.117647,2,3,0.055684000000000004,1,3,0.666667,1,1,0.333333,3,0.107143,3,2,0.0,3,0,1,1,good credit
3,0.294118,2,2,0.142236,3,5,0.666667,1,1,1.0,2,0.607143,3,2,0.0,3,0,1,1,good credit
3,0.205882,2,3,0.099098,1,2,1.0,1,1,0.0,1,0.25,3,2,0.0,3,0,1,1,good credit
3,0.16176500000000002,2,4,0.055684000000000004,3,4,1.0,1,1,0.666667,2,0.303571,3,2,0.333333,3,0,2,1,good credit
1,0.205882,2,9,0.091504,4,2,0.666667,1,1,0.666667,1,0.303571,1,2,0.0,3,0,2,1,good credit
3,0.073529,2,0,0.183064,2,3,0.0,1,3,0.333333,1,0.125,3,1,0.0,3,1,1,2,good credit
3,0.294118,4,2,0.26961599999999997,1,5,1.0,1,1,1.0,3,0.25,3,2,0.0,3,0,2,1,good credit
1,0.117647,2,8,0.027732,5,5,1.0,1,1,1.0,2,0.33928600000000003,3,2,0.333333,3,0,1,1,good credit
1,0.8235290000000001,2,0,0.393859,2,2,1.0,2,1,0.333333,2,0.089286,3,2,0.0,4,0,1,1,bad credit
3,0.147059,3,0,0.030373,1,3,1.0,1,1,0.333333,3,0.14285699999999998,3,2,0.333333,2,0,1,1,good credit
1,0.117647,2,3,0.046935000000000004,1,4,1.0,1,3,0.666667,1,0.178571,3,2,0.333333,3,0,1,2,good credit
2,0.073529,0,3,0.059811,1,2,1.0,1,1,0.333333,3,0.267857,3,2,0.333333,4,0,2,1,bad credit
1,0.8235290000000001,1,10,0.799604,2,5,0.666667,2,1,1.0,4,0.732143,1,3,0.333333,4,0,2,1,bad credit
1,0.029412,3,2,0.044019,1,1,1.0,1,1,0.0,2,0.28571399999999997,2,2,0.333333,4,0,2,1,good credit
0,0.205882,4,5,0.051722000000000004,1,1,0.333333,2,1,1.0,4,0.642857,3,3,0.666667,1,1,1,1,bad credit
0,0.8235290000000001,2,9,0.387752,1,5,1.0,1,2,1.0,4,0.303571,3,1,0.0,3,0,1,1,bad credit
3,0.25,0,0,0.261527,5,3,0.0,2,1,1.0,2,0.178571,1,2,0.333333,3,0,2,1,bad credit
1,0.8235290000000001,3,3,0.39441,5,3,0.0,1,1,0.0,1,0.14285699999999998,3,2,0.0,2,0,1,1,good credit
3,0.16176500000000002,2,6,0.24061799999999997,2,3,0.666667,1,1,0.333333,2,0.375,3,2,0.0,4,0,2,1,bad credit
3,0.205882,4,3,0.320238,1,5,0.666667,1,1,1.0,3,0.25,3,2,0.333333,3,0,2,1,good credit
3,0.294118,3,9,0.1988,1,3,0.0,1,1,0.333333,4,0.232143,3,3,0.0,3,0,1,1,good credit
3,0.294118,2,2,0.154727,3,5,1.0,1,1,0.666667,4,0.232143,3,1,0.0,3,0,2,1,good credit
3,0.073529,2,3,0.067569,1,4,1.0,1,1,0.333333,3,0.053571,3,2,0.0,3,0,1,1,bad credit
0,0.117647,2,2,0.056784,1,3,0.333333,2,1,1.0,3,0.017856999999999998,3,1,0.0,3,0,1,1,bad credit
3,0.294118,3,9,0.116925,3,3,1.0,1,1,0.333333,3,0.446429,3,2,0.333333,3,1,2,1,good credit
1,0.205882,2,1,0.700231,1,1,0.666667,2,1,1.0,4,0.33928600000000003,3,3,0.0,4,0,2,1,bad credit
3,0.205882,2,3,0.067294,1,2,0.666667,1,1,1.0,1,0.357143,3,2,0.0,3,0,2,1,good credit
1,0.470588,4,0,0.14141099999999998,1,2,1.0,1,1,1.0,3,0.14285699999999998,3,2,0.333333,3,0,1,1,bad credit
0,0.205882,2,2,0.12171199999999999,1,3,0.333333,1,1,0.333333,3,0.053571,3,2,0.0,3,0,1,1,bad credit
3,0.294118,4,3,0.08809299999999999,1,4,1.0,1,3,0.333333,3,0.25,3,2,0.333333,3,0,2,1,good credit
3,0.073529,2,9,0.065973,1,4,0.666667,2,1,0.333333,3,0.14285699999999998,3,2,0.333333,3,0,1,1,good credit
0,0.117647,2,3,0.047155,1,3,0.333333,1,1,0.333333,1,0.017856999999999998,3,1,0.0,4,1,2,1,good credit
1,0.25,2,9,0.051612,1,5,0.333333,2,1,1.0,2,0.357143,3,2,0.0,3,1,1,1,bad credit
3,0.294118,2,3,0.174975,3,5,0.666667,1,1,0.333333,3,0.214286,3,2,0.0,3,1,2,1,good credit
2,0.294118,4,3,0.159459,5,3,0.666667,1,1,0.333333,3,0.214286,3,2,0.333333,3,0,2,1,good credit
3,0.25,3,1,0.15093,1,3,0.666667,1,1,0.333333,1,0.16071400000000002,2,2,0.333333,2,0,1,1,good credit
3,0.352941,4,3,0.137174,1,5,1.0,1,1,0.333333,3,0.178571,3,2,0.333333,3,0,1,1,good credit
0,0.8235290000000001,3,9,0.362386,1,5,0.666667,1,1,1.0,4,0.785714,3,2,0.333333,3,0,2,1,bad credit
3,0.558824,2,3,0.380544,5,4,0.333333,1,1,1.0,2,0.178571,3,1,0.0,3,0,2,1,good credit
0,0.117647,4,2,0.109827,1,5,0.666667,1,1,0.666667,2,0.732143,3,2,0.333333,3,0,1,1,bad credit
0,0.117647,2,2,0.056784,1,3,0.333333,2,1,1.0,3,0.017856999999999998,3,1,0.0,3,0,1,1,bad credit
1,0.647059,3,10,0.403433,2,1,0.333333,1,1,1.0,4,0.214286,3,3,0.0,4,0,2,1,good credit
0,0.294118,2,9,0.347639,1,3,0.333333,1,1,0.333333,3,0.035713999999999996,2,2,0.0,2,0,1,1,good credit
3,0.08823500000000001,2,1,0.142951,2,3,0.0,1,2,0.333333,1,0.232143,3,2,0.0,3,1,1,1,good credit
3,0.294118,2,2,0.142236,3,5,0.666667,1,1,1.0,2,0.607143,3,2,0.0,3,0,1,1,good credit
1,0.117647,2,0,0.023934999999999998,1,4,0.333333,1,1,0.666667,3,0.107143,1,2,0.0,2,0,1,1,bad credit
3,0.117647,2,2,0.083526,1,3,0.666667,1,1,0.333333,1,0.089286,3,1,0.0,2,0,1,1,good credit
1,0.470588,0,3,0.195554,1,3,1.0,2,1,0.0,3,0.410714,3,2,0.0,3,0,2,1,bad credit
1,0.647059,1,9,0.339276,1,5,1.0,2,1,0.666667,4,0.714286,3,1,0.0,3,0,1,1,bad credit
1,0.294118,2,1,0.13810899999999998,5,5,1.0,1,1,1.0,4,0.303571,1,3,0.0,3,0,2,1,good credit
